Name,Flavors,Rarity,Rawness,IsToxic,SpecialTags,Type
Fish,"Savory:1;Umami:1",1,0,false,,Base
FirePaper,"Spicy:1;Bitter:0.3",1,0,true,,Side
Herb,"Sweet:0.5",1,0,false,Memory,Side
Ice,,1,0,false,,Side
Mushroom,"Umami:0.8;Bitter:0.2",2,0,false,Healing,Side
Honey,"Sweet:2.0",1,0,false,,Side
Chili,"Spicy:1.5;Bitter:0.1",1,0,false,Power,Side
Beef,"Savory:2.0",1,0.5,false,,Base
Chicken,"Savory:1.5;Umami:0.5",1,0.3,false,,Base
Pork,"Savory:1.8;Bitter:0.2",1,0.4,false,,Base
Garlic,"Savory:0.5;Spicy:0.3",1,0,false,,Side
Onion,"Sweet:0.3;Umami:0.4",1,0,false,,Side
Tomato,"Sweet:0.8;Umami:0.2",1,0,false,,Side
